Product Code:,Animal Species,Establishment Code,Establishment Name,Subsidiaries,Product True Name,Agent(s):,Trade Name(s):,Distributor(s):,Usage,Dosage_and_TimePeriod,Dosage_Source_Reference,Usage_Improved
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/888ab3f3-2603-4b58-9aaa-49ad824761cf"">1551R0</a>","Chicken,Turkey",190,Zoetis Inc,Not Applicable,"Escherichia Coli Vaccine, Live Culture",Escherichia coli (Non-J5),Poulvac E. coli,Agrimatco Limited Algeria; SARL BIOLAB VETERINAIRE; Zoetis Animal Health Ltd â€“ Istanbul; 0Zoetis Argentina; Zoetis Australia Pty Ltd; Zoetis Belgium SA; Zoetis Colombia S.A.S.; Zoetis Import Egypt; Zoetis Industria de Produtos; Zoetis Korea; Zoeti,"A vaccine for chicken,turkeys that helps protect against escherichia coli (non-j5).",Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,"A vaccine for chicken,turkeys that helps protect against escherichia coli (non-j5)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/7f8e7aa4-07d4-4474-9f12-60da3871e36e"">1A89R0</a>",Chicken,190,Zoetis Inc.,Not Applicable,"Bursal Disease-Marek's Disease-Newcastle Disease Vaccine, Serotype 3, Live Marek's Disease Vector","Bursal Disease (Birnavirus, Avian); 	Paramyxovirus, Avian (Newcastle); 	Herpesvirus, Turkey [Mareks, Serotype 3]",Poulvac Procerta HVT-IBD-ND,No distributor specified,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); 	paramyxovirus, avian (newcastle); 	herpesvirus, turkey [mareks, serotype 3].","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); 	paramyxovirus, avian (newcastle); 	herpesvirus, turkey [mareks, serotype 3]."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/86443df0-1ddf-4a88-897c-241be46c75f8"">15P520</a>",Canine,190,Zoetis Inc.,Not applicable,"Canine Influenza Vaccine, H3N2, Killed Virus","Influenza Virus, Canine, H3N2",Vanguard CIV H3N2,No distributor specified,"A vaccine for canines that helps protect against influenza virus, canine, h3n2.",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against influenza virus, canine, h3n2."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/2c8b5fa5-0296-4792-9052-ef34e288ec22"">790500</a>",Bovine,190,Zoetis Inc.,Not applicable,Mannheimia Haemolytica Bacterin-Toxoid,Mannheimia (Pasteurella) haemolytica,Bovi-Shield MH-One; BoviShield MH One; One Shot; Rispoval,Zoetis Australia Pty Ltd; Zoetis Australia Pty Ltd; Zoetis Korea; Zoetis Mexico; Zoetis Japan Inc.,A bacterin for bovines that provides immunity against mannheimia (pasteurella) haemolytica.,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A bacterin for bovines that provides immunity against mannheimia (pasteurella) haemolytica.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/34018f09-c1d2-48fa-8f14-10005b5bbff7"">123121</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Bronchitis Vaccine, Ark Type, Live Virus","Coronavirus, Chicken (Bronchitis)",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/220fedb4-7423-4512-a3ec-a853de2ffd3c"">12D530</a>",Chicken,165A,Intervet Inc,Merck Sharpe and Dohme (MSD),"Bursal Disease-Reovirus Vaccine, Standard &amp; Variant, Killed Virus","Bursal Disease (Birnavirus, Avian); Reovirus, Avian (Unspecified Syndrome)",Breedervac-Reo-Plus,"Intervet Mexico S.A. de C.V; Intervet, Inc; Merck Animal Health","A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); reovirus, avian (unspecified syndrome).",Inject 0.5 mL subcutaneously per bird; revaccinate 4-6 weeks or as directed on label.,AviPro / manufacturer product inserts.,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); reovirus, avian (unspecified syndrome)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/7f9a4e6f-06ad-41fb-96ed-d8439c95ea0e"">19X5R1</a>",Mink,190,Zoetis Inc.,Not applicable,"Mink Coronavirus Vaccine, Subunit",Coronavirus (SARS-COV-2),No trade name assigned,No distributor specified,A vaccine for minks that helps protect against coronavirus (sars-cov-2).,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for minks that helps protect against coronavirus (sars-cov-2).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/aad24879-4fcc-4a1b-b040-66ce157828f3"">143151</a>",Turkey,368,"Ceva Animal Health, LLC",Biomune Company,"Coccidiosis Vaccine, Live Oocysts",Coccidia (Untyped),Immucox T,Biomune,A vaccine for turkeys that helps protect against coccidia (untyped).,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for turkeys that helps protect against coccidia (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/33e06c8e-37b9-4c05-bd5b-44038aa67962"">463724</a>",Canine,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,"Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Vaccine, Modified Live Virus, Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterial Extract","Leptospira canicola; L.grippotyphosa;  L.icterohaemorrhagiae; L.pomona; Adenovirus, Canine, Type 2; Parainfluenza, Canine; Paramyxovirus, Canine (Distemper); Parvovirus, Canine",Canine Imuno-Vax 9; Canine Spectra 9; Solo-Jec 9,Peak Marketing,"A vaccine for canines that helps protect against leptospira canicola; l.grippotyphosa;  l.icterohaemorrhagiae; l.pomona; adenovirus, canine, type 2; parainfluenza, canine; paramyxovirus, canine (distemper); parvovirus, canine.",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against leptospira canicola; l.grippotyphosa;  l.icterohaemorrhagiae; l.pomona; adenovirus, canine, type 2; parainfluenza, canine; paramyxovirus, canine (distemper); parvovirus, canine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/f3df96a6-4447-4cc7-b368-32829a1c1734"">155102</a>",Swine,213,"Diamond Animal Health, Inc.","Prevtec Microbia, Inc.","Escherichia Coli Vaccine, Avirulent Live Culture",Escherichia coli (Non-J5),Coliprotec F4,No distributor specified,A vaccine for swines that helps protect against escherichia coli (non-j5).,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A vaccine for swines that helps protect against escherichia coli (non-j5).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/3a4fc0fe-8583-4a23-bf66-a48628c64f9c"">442921</a>",Bovine,290,"Bimeda Biologicals, Inc.",Not applicable,"Bovine Rhinotracheitis-Virus Diarrhea Vaccine, Modified Live Virus, Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid","Mannheimia (Pasteurella) haemolytica; Pasteurella multocida (Untyped); Bovine Virus Diarrhea Virus (Untyped); Herpesvirus, Bovine (IBR)",Respivax 3 + PH-M,"Huvepharma, Inc","A vaccine for bovines that helps protect against mannheimia (pasteurella) haemolytica; pasteurella multocida (untyped); bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr).","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for bovines that helps protect against mannheimia (pasteurella) haemolytica; pasteurella multocida (untyped); bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/f12b6c3d-1382-4228-83e6-97b9087b911d"">152522</a>",Equine,196,Intervet Inc.,Merck Animal Health,"Equine Rhinopneumonitis Vaccine, Killed Virus","Herpesvirus, Equine (Rhinopneumonitis, Untyped)",Prestige EHV-1/4; Prestige with Havlogen,No distributor specified,"A vaccine for equines that helps protect against herpesvirus, equine (rhinopneumonitis, untyped).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for equines that helps protect against herpesvirus, equine (rhinopneumonitis, untyped)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/49cab046-e3b0-4617-ab08-1ef1c86d26fd"">123211</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,"Bronchitis Vaccine, Mass Type, Live Virus","Coronavirus, Chicken (Bronchitis)",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/227d2dfb-ee55-4966-8b24-38a76a95e489"">808101</a>",Swine,196,Elanco US Inc.,Elanco US Inc.,Clostridium Perfringens Type A Toxoid,Clostridium perfringens Type A,No trade name assigned,No distributor specified,This product is used in swines to help prevent or protect against diseases caused by clostridium perfringens type a.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,This product is used in swines to help prevent or protect against diseases caused by clostridium perfringens type a.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/0184ba28-7dba-44f3-9367-4a7e6570c2af"">108104</a>",Canine,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,"Bordetella Bronchiseptica Vaccine, Avirulent Live Culture",Bordetella bronchiseptica,Recombitek Oral Bordetella,Boehringer Ingelheim Animal Health Mexico,A vaccine for canines that helps protect against bordetella bronchiseptica.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A vaccine for canines that helps protect against bordetella bronchiseptica.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/b59f5d80-0d86-4892-a160-0cbfdebf6255"">190524</a>","Canine,Feline",298,"Merial, Inc","Merial Canada, Inc","Rabies Vaccine, Killed Virus",Rabies Virus,Imrab 1 TF,No distributor specified,"A vaccine for canine,felines that helps protect against rabies virus.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for canine,felines that helps protect against rabies virus."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/3d17a216-b1ce-42a1-b208-135fb53d2aad"">14P521</a>",Canine,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,"Canine Coronavirus Vaccine, Killed Virus","Coronavirus, Canine",No trade name assigned,No distributor specified,"A vaccine for canines that helps protect against coronavirus, canine.",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against coronavirus, canine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/4768cfe0-0128-4125-907a-8d5c6f4ed548"">16J1R2</a>",Chicken,165A,Intervet Inc.,Not Applicable,"Fowl Laryngotracheitis-Marek's Disease Vaccine, Serotypes 2 &amp; 3, Modified Live &amp; Live Marek's Disease Vector","Herpesvirus, Chicken (Laryngotracheitis); Herpesvirus, Chicken [Mareks, Serotype 2]; Herpesvirus, Turkey [Mareks, Serotype 3]",No Trade Name Assigned,Merck Animal Health,"A vaccine for chickens that helps protect against herpesvirus, chicken (laryngotracheitis); herpesvirus, chicken [mareks, serotype 2]; herpesvirus, turkey [mareks, serotype 3].",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against herpesvirus, chicken (laryngotracheitis); herpesvirus, chicken [mareks, serotype 2]; herpesvirus, turkey [mareks, serotype 3]."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/f4e47213-18eb-41c8-a5af-7b6fbc45916e"">266806</a>",Canine,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterial Extract,Leptospira canicola; Leptospira grippotyphosa;  Leptospira  icterohaemorrhagiae; Leptospira pomona,No trade name assigned,No distributor specified,This product is used in canines to help prevent or protect against diseases caused by leptospira canicola; leptospira grippotyphosa;  leptospira  icterohaemorrhagiae; leptospira pomona.,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",This product is used in canines to help prevent or protect against diseases caused by leptospira canicola; leptospira grippotyphosa;  leptospira  icterohaemorrhagiae; leptospira pomona.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/8cf60048-24bd-4927-bcd9-4bf3176158be"">457020</a>",Bovine,196,Elanco US Inc.,Elanco US Inc.,"Bovine Rotavirus -Coronavirus Vaccine, Killed Virus, Clostridium Perfringens Type C-Escherichia Coli Bacterin-Toxoid","Clostridium perfringens Type C; Coronavirus, Bovine;  Escherichia coli (Non-J5); Rotavirus, Bovine",Scour Bos 9,Elanco Canada Limited,"A vaccine for bovines that helps protect against clostridium perfringens type c; coronavirus, bovine;  escherichia coli (non-j5); rotavirus, bovine.","Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,"A vaccine for bovines that helps protect against clostridium perfringens type c; coronavirus, bovine;  escherichia coli (non-j5); rotavirus, bovine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/2ecd0a07-8815-45ee-9e63-ee55605ca3a5"">17H1R2</a>",Chicken,368,"Ceva Animal Health, LLC",Biomune Company,"Marek's Disease-Newcastle Disease Vaccine, Serotypes 2 &amp; 3, Live Virus, Live Marek's Disease Vector","Herpesvirus, Chicken [Mareks, Serotype 2]; Herpesvirus, Turkey [Mareks, Serotype 3]; Paramyxovirus, Avian (Newcastle)",Vectormune HVT NDV &amp; SB-1,No distributor specified,"A vaccine for chickens that helps protect against herpesvirus, chicken [mareks, serotype 2]; herpesvirus, turkey [mareks, serotype 3]; paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against herpesvirus, chicken [mareks, serotype 2]; herpesvirus, turkey [mareks, serotype 3]; paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/e92a82e8-1c1e-457b-87a0-966e63f89957"">120522</a>",Bovine,124,"Boehringer Ingelheim Vetmedica, Inc.",Not Applicable,"Bovine Virus Diarrhea Vaccine, Killed Virus",Bovine Virus Diarrhea Virus (Untyped),No trade name assigned,No distributor specified,A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped).,"Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/8540eda2-1b07-47df-92ab-65568967f1f7"">263900</a>",Equine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,Neorickettsia Risticii Bacterin,Neorickettsia risticii,No trade name assigned,No distributor specified,A bacterin for equines that provides immunity against neorickettsia risticii.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for equines that provides immunity against neorickettsia risticii.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/60dc01d3-38ca-4390-a95a-d7d667df9c00"">19T120</a>",Swine,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,"Porcine Reproductive &amp; Respiratory Syndrome Vaccine, Reproductive &amp; Respiratory Forms, Modified Live Virus",Porcine Reproductive &amp; Respiratory Syndrome Virus,Ingelvac PRRS MLV; Ingelvac PRRS vet.,Multiple distributors - See PCS for complete listing,A vaccine for swines that helps protect against porcine reproductive &amp; respiratory syndrome virus.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for swines that helps protect against porcine reproductive &amp; respiratory syndrome virus.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/2c73ffa9-ec2d-4b49-a236-5fa72932841c"">118121</a>",Bovine,124,"Boehringer Ingelheim Vetmedica, Inc.",Not Applicable,"Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine, Modified Live Virus","Respiratory Syncytial Virus, Bovine ; Parainfluenza 3 Virus, Bovine; Herpesvirus, Bovine (IBR); Bovine Virus Diarrhea Virus (Untyped)",Express 5; Express Feedlot,Boehringer Ingelheim (Canada) Ltd.; Boehringer Ingelheim Animal Health South Africa (Pty) Ltd/ (Edms) Bpk; Ingelheim Pharmaceuticals (Pty) Ltd.,"A vaccine for bovines that helps protect against respiratory syncytial virus, bovine ; parainfluenza 3 virus, bovine; herpesvirus, bovine (ibr); bovine virus diarrhea virus (untyped).","Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,"A vaccine for bovines that helps protect against respiratory syncytial virus, bovine ; parainfluenza 3 virus, bovine; herpesvirus, bovine (ibr); bovine virus diarrhea virus (untyped)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/ed49f355-4324-4a2f-b5e4-00665c7e00ee"">958003</a>",Canine,190,Zoetis Inc,Not Applicable,Canine Allergic Dermatitis Immunotherapeutic,Immunomodulator,Cytopoint,No distributor specified,This product is used in canines to help prevent or protect against diseases caused by immunomodulator.,Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).",This product is used in canines to help prevent or protect against diseases caused by immunomodulator.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/1dfae1e5-a436-46c0-856f-a0b3f089af4a"">830400</a>","Ovine,Caprine,Bovine",124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,Clostridium Perfringens Types C &amp; D-Tetanus Toxoid,Clostridium perfringens Type C; Clostridium perfringens Type D; Clostridium tetani,Bar Vac CD/T,No distributor specified,"This product is used in ovine,caprine,bovines to help prevent or protect against diseases caused by clostridium perfringens type c; clostridium perfringens type d; clostridium tetani.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"This product is used in ovine,caprine,bovines to help prevent or protect against diseases caused by clostridium perfringens type c; clostridium perfringens type d; clostridium tetani."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/89e4ac08-5e71-448c-9408-bb363e2b4d2b"">49W521</a>",Equine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Encephalomyelitis-Rhinopneumonitis-Influenza-West Nile Virus Vaccine, Eastern &amp; Western &amp; Venezuelan, Killed Virus, Tetanus Toxoid","Clostridium tetani; Encephalomyelitis Virus, Eastern Equine; Encephalomyelitis Virus, Equine, Venezuelan; Encephalomyelitis Virus, Equine, Western; Herpesvirus, Equine (Rhinopneumonitis, Untyped); Influenza Virus, Equine; West Nile Virus",Vetera Goldxp + VEE,No distributor specified,"A vaccine for equines that helps protect against clostridium tetani; encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, venezuelan; encephalomyelitis virus, equine, western; herpesvirus, equine (rhinopneumonitis, untyped); influenza virus, equine; west nile virus.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for equines that helps protect against clostridium tetani; encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, venezuelan; encephalomyelitis virus, equine, western; herpesvirus, equine (rhinopneumonitis, untyped); influenza virus, equine; west nile virus."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/ac53dced-a872-4f0f-a103-80c5bcaa8e14"">127112</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,"Bursal Disease Vaccine, Live Virus","Bursal Disease (Birnavirus, Avian)",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/0cb8fe46-4ac0-4009-a5f5-f29872b069b5"">14W522</a>",Equine,190,Zoetis Inc.,Not applicable,"Encephalomyelitis-West Nile Virus Vaccine, Eastern &amp; Western, Killed Virus","Encephalomyelitis Virus, Eastern Equine; Encephalomyelitis Virus, Equine, Western; West Nile Virus",West Nile Innovator + EW,No distributor specified,"A vaccine for equines that helps protect against encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, western; west nile virus.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for equines that helps protect against encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, western; west nile virus."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/ec5b8290-4b17-42c4-ae42-2285904fa6d3"">19K5R4</a>",Swine,165A,Intervet Inc.,Merck Animal Health,"Porcine Circovirus Vaccine, Type 2, Killed Baculovirus Vector","Circovirus, Porcine, Type 2",Circumvent PCV G2,No distributor specified,"A vaccine for swines that helps protect against circovirus, porcine, type 2.",Administer 1 mL intramuscularly (IM) or as specified on label; many labels call for a single 1 mL dose at 3 weeks of age or older.,"Boehringer-Ingelheim / Merck product inserts (Circumvent, d-FENSE).","A vaccine for swines that helps protect against circovirus, porcine, type 2."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/0ad9b599-0773-404c-9f0d-be6d242093cf"">188110</a>",Chicken,407,Hygieia Biological Laboratories,Not Applicable,"Pigeon Pox Vaccine, Live Virus","Pox Virus, Pigeon",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against pox virus, pigeon.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against pox virus, pigeon."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/02f62c16-035d-48e6-baa4-7203925219d7"">266800</a>",Canine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterin,Leptospira canicola; Leptospira grippotyphosa; Leptospira icterohaemorrhagiae; Leptospira pomona,No trade name assigned,No distributor specified,A bacterin for canines that provides immunity against leptospira canicola; leptospira grippotyphosa; leptospira icterohaemorrhagiae; leptospira pomona.,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A bacterin for canines that provides immunity against leptospira canicola; leptospira grippotyphosa; leptospira icterohaemorrhagiae; leptospira pomona.
